Domain,Region,Element Code,Element,Item,Year,Unit,Flag,Flag Description,Area,Co2 Emissions,Temperature,Yield
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Germany,8111.808,1.488,11095930
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Germany,8306.4152,1.259,10589273
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Germany,8334.7266,1.001,11786701
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Germany,8317.9685,1.028,11049535
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Germany,8374.3994,1.26,11940196
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Germany,8370.8106,2.093,12723859
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Germany,8450.1027,1.545,12292157
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Germany,8435.9983,1.284,13156765
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Germany,8403.6448,0.196,12589151
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Germany,8488.7462,1.12,13291240
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Germany,8239.4064,1.35,13412935
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Germany,8292.7724,0.584,13432326
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Germany,8433.0573,2.516,14780265
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Germany,8371.9868,1.673,13901520
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Germany,8245.0325,1.985,14308256
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Germany,7951.5832,1.651,14374380
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Germany,8071.6622,2.395,12921325
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Germany,7999.3832,2.335,13323424
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,France,11296.0866,1.567,9543362
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,France,11363.7929,0.23,9789467
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,France,11552.8415,0.632,10552409
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,France,11797.3684,0.301,10282805
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,France,11518.3926,1.523,10692187
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,France,11583.4302,1.299,11012149
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,France,11860.8774,0.163,11337251
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,France,11797.3193,1.213,11480805
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,France,12070.5456,0.913,11573895
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,France,12061.3331,1.167,12231494
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,France,12126.5928,1.143,12656464
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,France,12296.1808,1.362,12312948
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,France,11881.4877,1.023,13107314
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,France,11732.6163,1.771,12501871
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,France,12205.7291,0.945,13452859
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,France,11879.797,0.998,13895816
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,France,11465.7212,1.28,13731275
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,France,11216.6523,1.376,11706248
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,France,11474.9855,0.959,11540199
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,France,11578.8788,1.174,11857893
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,France,11175.4689,0.353,11491510
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,France,11270.0828,1.492,11765801
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,France,10783.6181,1.178,12138192
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,France,11264.0906,0.671,12060378
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,France,11254.9952,1.999,13622368
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,France,11066.2361,1.558,13526648
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,France,10687.0639,1.738,13252850
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,France,10560.3028,1.743,13939938
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,France,10584.3604,2.006,11303756
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,France,10450.2334,1.956,11325224
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Finland,2230.2238,1.274,5937930
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Finland,1909.4764,1.159,6039920
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Finland,1949.5875,1.187,5876458
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Finland,2006.5257,0.96,6010140
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Finland,1730.4194,0.167,6946077
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Finland,1744.0202,1.724,6132999
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Finland,1751.9032,0.158,6482844
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Finland,1706.6413,0.806,6703035
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Finland,1756.7545,0.092,5864553
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Finland,1690.6553,1.179,7012932
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Finland,1614.1633,2.046,6938635
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Finland,1598.0572,1.386,7519617
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Finland,1611.2209,1.19,7932460
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Finland,1595.674,0.732,7733098
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Finland,1561.6556,1.25,7700777
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Finland,1530.2529,2.22,8492738
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Finland,1470.2497,1.221,8450776
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Finland,1485.2461,1.965,8664311
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Finland,1444.4819,2.153,8661603
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Finland,1363.7722,1.709,9207239
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Finland,1365.4901,0.255,8914197
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Finland,1334.6805,1.369,10112465
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Finland,1368.0257,1.559,9241043
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Finland,1331.0148,1.439,9582177
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Finland,1285.2415,2.609,10064173
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Finland,1262.5284,2.629,9584794
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Finland,1234.129,2.167,9969906
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Finland,1181.3368,1.504,10045656
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Finland,1122.4695,2.17,11286969
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Finland,1089.915,1.471,12420050
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,El Salvador,105.0323,0.578,3402561
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,El Salvador,116.4744,0.564,5103772
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,El Salvador,135.9568,0.542,5155779
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,El Salvador,143.2317,0.288,5165128
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,El Salvador,149.5427,0.715,5177888
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,El Salvador,166.1946,0.636,5099054
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,El Salvador,155.2601,0.183,5329717
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,El Salvador,177.3372,0.859,5321810
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,El Salvador,190.5437,0.939,5179912
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,El Salvador,201.5808,0.339,5220026
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,El Salvador,198.6256,0.033,5375898
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,El Salvador,200.546,0.482,5514235
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,El Salvador,197.9873,0.68,5248974
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,El Salvador,207.6211,0.875,5145432
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,El Salvador,212.2678,0.747,5557153
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,El Salvador,228.8143,0.684,6023074
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,El Salvador,226.6427,0.652,5969417
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,El Salvador,247.4967,0.664,5763021
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,El Salvador,221.3646,0.434,5748992
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,El Salvador,215.9437,0.998,5741919
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,El Salvador,216.653,0.659,5268435
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,El Salvador,218.056,0.663,5109751
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,El Salvador,209.0522,0.769,5488613
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,El Salvador,194.7965,0.754,5474171
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,El Salvador,192.855,0.718,5303824
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,El Salvador,223.934,1.337,5164429
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,El Salvador,225.5682,1.297,5441352
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,El Salvador,223.8777,0.75,6353310
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,El Salvador,230.452,0.803,6873798
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,El Salvador,237.9714,0.996,7064702
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Equador,901.5905,0.483,5619257
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Equador,818.3431,0.472,4597320
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Equador,768.3097,0.791,4173770
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Equador,683.6677,0.517,4158210
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Equador,664.0108,0.273,3926213
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Equador,634.1336,0.694,3634361
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Equador,431.3694,0.029,4422417
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Equador,418.3993,1.002,4412872
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Equador,558.1845,1.185,4270643
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Equador,520.4413,0.189,4594719
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Equador,506.2524,0.215,3913684
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Equador,525.5864,0.428,4071847
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Equador,683.9368,0.727,4235634
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Equador,708.0291,0.756,4048610
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Equador,645.4374,0.718,4214407
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Equador,613.9492,0.708,4352545
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Equador,456.4386,0.68,4364705
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Equador,452.1382,0.684,4609621
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Equador,501.3317,0.542,4589135
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Equador,543.9741,0.795,4424634
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Equador,591.1741,0.652,4461981
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Equador,639.0734,0.542,4632628
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Equador,693.341,0.554,4489036
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Equador,704.616,0.335,4265213
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Equador,779.0924,0.962,4853518
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Equador,727.8078,1.403,5135784
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Equador,485.3325,1.39,4891610
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Equador,546.6302,0.963,4917450
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Equador,597.1939,0.966,4708537
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Equador,560.8142,1.174,4539206
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Dominican Republic,343.9989,0.482,3448031
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Dominican Republic,338.0617,0.32,3897411
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Dominican Republic,391.3319,0.153,3750796
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Dominican Republic,452.0573,0.28,3695440
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Dominican Republic,477.2476,0.7,3981397
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Dominican Republic,531.4359,0.786,3789654
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Dominican Republic,560.4798,0.553,3990707
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Dominican Republic,571.4696,0.819,4949285
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Dominican Republic,508.3115,1.216,4804292
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Dominican Republic,430.987,0.743,5200329
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Dominican Republic,450.7039,0.498,5969258
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Dominican Republic,446.8557,0.795,7954975
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Dominican Republic,449.6615,0.871,6855968
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Dominican Republic,395.3129,1.054,7722770
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Dominican Republic,395.1069,0.641,6917608
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Dominican Republic,927.6905,0.829,7475527
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Dominican Republic,630.3489,0.839,7149084
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Dominican Republic,563.4743,1.022,7203628
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Dominican Republic,581.9578,0.482,6418616
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Dominican Republic,433.557,0.622,7805346
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Dominican Republic,418.8502,1.144,7911706
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Dominican Republic,356.5413,0.469,7374712
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Dominican Republic,450.6667,0.713,7514132
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Dominican Republic,779.066,0.973,7719129
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Dominican Republic,460.9517,0.984,8408220
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Dominican Republic,310.4179,1.192,8865889
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Dominican Republic,620.6411,1.11,9059618
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Dominican Republic,728.8004,0.851,9650708
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Dominican Republic,395.3942,0.97,9966116
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Dominican Republic,382.2827,1.115,10097154
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Denmark,2436.913,1.832,10075202
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Denmark,2585.108,0.613,9491871
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Denmark,2520.6934,1.447,9543309
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Denmark,2318.9238,0.224,8044225
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Denmark,2343.645,0.966,8408937
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Denmark,2289.596,1.305,8550548
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Denmark,2384.5485,-0.747,8378019
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Denmark,2336.116,0.655,8539585
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Denmark,2246.1564,0.865,8534209
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Denmark,2226.6923,1.335,10786645
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Denmark,2272.9222,1.716,10947297
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Denmark,2251.0532,1.04,11132679
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Denmark,2159.8556,1.647,11044256
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Denmark,2127.0939,0.711,11824836
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Denmark,2024.3263,1.04,12191552
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Denmark,2055.1258,1.29,11656090
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Denmark,2149.1909,1.356,11477920
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Denmark,2029.5844,2.143,11470607
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Denmark,2027.4339,1.866,8758984
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Denmark,1969.7513,1.333,10019019
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Denmark,2040.2268,-0.185,9794973
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Denmark,1931.8573,0.693,9572467
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Denmark,1803.6094,1.15,9938213
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Denmark,1855.0282,0.408,10673204
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Denmark,1662.5282,2.688,11456119
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Denmark,1677.0699,1.524,10914963
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Denmark,1645.2526,1.856,10530430
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Denmark,1513.1232,1.624,11074470
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Denmark,1475.2506,2.113,10467787
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Denmark,1437.795,2.186,11159516
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Czechoslovakia,2753.172,0.306,3983331
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Czechoslovakia,2828.8301,1.818,4121219
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Czechoslovakia,3323.7976,1.058,3662439
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Czechoslovakia,1853.5886,-0.588,4050393
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Czechoslovakia,1472.5665,0.155,3591409
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Czechoslovakia,1431.2402,1.272,3778393
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Czechoslovakia,1703.3092,1.13,4005904
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Czechoslovakia,1763.5331,1.929,3861824
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Czechoslovakia,1667.2119,1.246,3921056
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Czechoslovakia,1536.8192,1.549,4014395
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Czechoslovakia,1490.9006,1.101,3778447
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Czechoslovakia,1529.396,0.842,4339403
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Czechoslovakia,1506.5852,0.771,4433933
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Czechoslovakia,1454.7273,0.974,4163414
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Czechoslovakia,1426.8253,2.19,4596507
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Czechoslovakia,1435.544,1.669,4613950
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Czechoslovakia,1403.7233,1.449,4301763
